escs_quintile,n_students,success_rate,math_score_mean,escs_mean
Q1 lowest ESCS,117662,0.2434855773316789,376.71812633985485,-2.0193477494858154
Q2,117649,0.4447636613995869,415.7723164591284,-0.872607858970327
Q3,117656,0.5596314680084313,439.91867492945534,-0.18502566719929286
Q4,117661,0.6793414980324831,467.38879932517995,0.4398269401075972
Q5 highest ESCS,117648,0.8270518835849313,511.7942355186658,1.0851966416768666
,25468,0.40046332652740696,408.1466330728757,
