school_id,n_students,success_rate,math_score_mean,math_score_std
49900035.0,475,0.9031578947368422,496.46738084210523,60.47143510029469
49900014.0,334,0.46107784431137727,414.97420778443114,59.192309289122676
9600025.0,287,0.8013937282229965,469.06234494773526,59.42681557452997
49900020.0,280,0.2857142857142857,389.22117428571426,62.23850177600727
9600016.0,275,0.7527272727272727,473.12196181818183,66.8251247528812
44600022.0,257,0.9922178988326849,613.3234182879378,74.79491090103869
44600043.0,253,0.9881422924901185,600.9255656126483,69.03151046573352
9600033.0,249,1.0,538.3019674698795,50.033692696800316
44600037.0,236,0.9872881355932204,584.0686427966101,78.61229825962776
49900021.0,230,0.4043478260869565,414.10455782608693,67.47999740901521
44600023.0,224,0.9508928571428571,547.5238089285714,77.16511885679
44600045.0,219,0.9954337899543378,583.8215675799087,68.26175874589957
39800084.0,218,0.9770642201834863,569.1602922018349,63.11100966781358
49900040.0,213,0.07981220657276995,345.2742915492958,51.28104115930362
49900036.0,205,0.6780487804878049,450.3003702439024,68.73299133356446
9600008.0,205,0.5170731707317073,422.0700897560976,77.32443710101907
9600017.0,203,0.3842364532019704,399.71536551724137,65.38613306089619
49900041.0,200,0.61,439.925125,71.08638615370486
47000043.0,194,0.6391752577319587,455.8353396907217,86.58173113950481
49900046.0,194,0.15463917525773196,361.9434278350515,57.205089472241
39800502.0,185,1.0,588.2785610810811,47.644225113442985
49900044.0,179,0.5027932960893855,419.0026217877095,71.4561927424283
44600025.0,178,0.9943820224719101,644.6094247191011,67.7663466121807
44600027.0,175,0.9314285714285714,534.4092222857142,73.78997528954321
49900025.0,174,0.1896551724137931,369.9683201149425,57.559564189106595
49900053.0,174,0.4425287356321839,406.9339833333333,65.85327462802614
49900028.0,163,0.08588957055214724,342.0422110429448,58.24379014150905
9600007.0,161,0.5962732919254659,443.08764223602486,64.79588071730585
9600018.0,161,0.5279503105590062,424.91095652173914,58.68668962127271
9600015.0,161,0.30434782608695654,390.39939130434783,64.46102331450999
39800504.0,158,1.0,557.5974582278482,53.33632599901327
49900024.0,151,0.24503311258278146,381.43398609271526,65.529355920776
49900006.0,151,0.11258278145695365,346.1314476821192,59.11893922801821
47000041.0,151,0.7086092715231788,461.5236940397351,86.08438995085481
35200096.0,151,0.8013245033112583,491.42700596026486,82.65368409704534
80700071.0,150,0.7133333333333334,458.44726333333335,61.88807396058899
49900022.0,148,0.38513513513513514,409.5277108108108,74.01708277143611
80700036.0,146,0.136986301369863,360.09717602739727,54.41105818394576
9600049.0,146,0.678082191780822,455.66242945205477,67.19325920909974
39800124.0,146,1.0,558.2123143835616,50.45181509514284
39800087.0,145,0.9862068965517241,561.5205331034483,53.46823531242257
80700035.0,145,0.7379310344827587,457.80083379310344,70.70163066132328
80700097.0,145,0.9310344827586207,507.64972137931034,60.29038800038502
35200039.0,144,0.7291666666666666,473.9337847222222,87.07965037557726
49900012.0,144,0.375,399.78474513888887,65.05111459143669
9600043.0,144,0.3541666666666667,397.57824374999996,64.95927930150772
5600143.0,143,0.8461538461538461,484.6729146853147,62.77954202750026
80700029.0,142,0.5070422535211268,418.69506971830987,60.44614600131309
9600003.0,141,0.40425531914893614,409.21768794326243,71.36898737956392
80700044.0,141,0.3049645390070922,375.04583404255317,70.52490298728208
80700045.0,140,0.2571428571428571,373.16879,65.24369923373158
49900047.0,140,0.08571428571428572,343.355255,55.5914886039665
39800503.0,140,0.9857142857142858,547.0771378571428,56.60624141564602
39800543.0,139,1.0,574.029517266187,46.665104267260936
9600002.0,138,0.5942028985507246,439.47037536231886,63.08353881886704
9600034.0,138,0.5217391304347826,426.06146159420285,71.1554993810778
80700056.0,138,0.14492753623188406,350.5413862318841,64.26114344255667
39800018.0,138,0.9782608695652174,547.3519050724638,53.36336634423286
9600022.0,137,0.48905109489051096,417.5304569343065,70.50733954004444
80700055.0,137,0.4233576642335766,409.2181613138686,67.63635004571945
9600023.0,136,0.3602941176470588,397.6697367647059,57.37665050490656
49900054.0,136,0.47794117647058826,428.0548948529412,59.681772808227954
9600031.0,136,0.6691176470588235,450.4499867647059,58.182051600614464
80700041.0,135,0.0962962962962963,329.059982962963,60.63173750651333
39800265.0,134,1.0,564.9209820895522,53.40936653207958
9600047.0,133,0.6165413533834586,442.43724962406014,82.70047906004538
39800263.0,133,0.9924812030075187,557.5946857142858,51.89687262990192
9600032.0,133,0.8947368421052632,502.4293248120301,73.80894568899676
44600029.0,132,0.9090909090909091,517.2591909090909,81.26449947539972
80700034.0,132,0.4090909090909091,401.03083106060603,63.3111113125524
47000030.0,131,0.5801526717557252,441.2589572519084,83.8428826292975
47000042.0,131,0.549618320610687,433.9743496183206,99.12145569419474
9600045.0,131,0.9770992366412213,557.5556748091602,61.83692865748572
44600028.0,130,0.9615384615384616,557.8165846153846,76.96411130167628
44600038.0,129,0.9069767441860465,528.4965875968992,75.13349859097056
